month,pollutant,AQI
1,NO2,8.810136286201022
2,NO2,5.94298195631529
3,NO2,3.860347268797973
4,NO2,2.10944813637677
5,NO2,5.5894357149916
6,NO2,6.454878238745522
7,NO2,9.12034750800183
8,NO2,9.321618944289826
9,NO2,9.78623454886237
10,NO2,3.0890257558790593
11,NO2,2.7831113835181367
12,NO2,4.4966088922381315
1,VOC,15.317844974446338
2,VOC,13.088167141500476
3,VOC,13.665623369848722
4,VOC,14.086362323028027
5,VOC,13.841955726850479
6,VOC,13.779246066773975
7,VOC,13.74037494284408
8,VOC,13.688027737157412
9,VOC,13.61187691285677
10,VOC,13.836209735854029
11,VOC,13.777901599153061
12,VOC,13.159005275056519
1,PM 10,24.287180579216354
2,PM 10,25.26738841405508
3,PM 10,20.910996845269146
4,PM 10,19.645738225946257
5,PM 10,19.37849589880423
6,PM 10,19.25073991380653
7,PM 10,16.709350708733425
8,PM 10,15.842869946695599
9,PM 10,14.706896960781988
10,PM 10,23.17811738357157
11,PM 10,23.572296205493956
12,PM 10,28.3112283345893
1,PM 2.5,24.210604770017035
2,PM 2.5,21.265641025641024
3,PM 2.5,13.897359465434583
4,PM 2.5,20.191129731291536
5,PM 2.5,9.554797904931318
6,PM 2.5,14.144296173217716
7,PM 2.5,17.940512117055327
8,PM 2.5,8.836478135761121
9,PM 2.5,8.490023488101734
10,PM 2.5,20.82965549041565
11,PM 2.5,28.078063186047807
12,PM 2.5,29.792012057272043
