area,avg_calculated_area_size,avg_area_size,avg_price,price_per_sqm
ΔΩΔΕΚΑΝΗΣΩΝ,339.6763684210526,327.8011464256933,17666.122536842104,52.00868879681295
ΧΑΛΚΙΔΙΚΗΣ,1304.9573076923077,2222.4203960547497,12932.600830769232,9.910363162484833
ΑΤΤΙΚΗΣ,313.22371111111113,475.77487578174566,7853.1628,25.072057195613187
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,248.03485294117647,401.56087608474354,7346.761176470588,29.619874341663323
ΚΑΒΑΛΑΣ,346.714835443038,605.0250940673099,6660.959113924051,19.21163571040324
ΚΕΦΑΛΛΗΝΙΑΣ,209.93428571428572,328.3906049516592,6623.562857142858,31.550648502252407
ΛΑΣΙΘΙΟΥ,489.0748671875,534.7727220666717,6605.216353125,13.505532171606587
ΚΕΡΚΥΡΑΣ,212.1012985074627,352.40949104685563,6527.937313432835,30.77745096031627
ΗΡΑΚΛΕΙΟΥ,581.3894466403162,772.9415811821247,6367.157193675889,10.951621551560446
ΡΕΘΥΜΝΟΥ,374.9688095238095,461.05738798168545,5994.018655873016,15.985379326576792
ΧΑΝΙΩΝ,339.8794848484849,514.2748175684226,5988.985598484849,17.62090936778571
ΜΑΓΝΗΣΙΑΣ,232.49007692307694,375.6843033039794,5947.965384615385,25.58373872697958
ΧΑΛΚΙΔΙΚΗ,484.0,830.8091368257674,5808.0,12.0
ΛΕΥΚΑΔΑ,445.41,734.764773737742,5790.33,12.999999999999998
ΖΑΚΥΝΘΟΥ,161.92000000000002,258.9932383554153,5667.2,34.99999999999999
ΚΥΚΛΑΔΩΝ,280.71872368421054,353.74529732962964,5590.576210526316,19.915223812485458
ΙΩΑΝΝΙΝΩΝ,173.245,292.4671505215632,5197.349999999999,29.999999999999996
ΛΑΚΩΝΙΑΣ,240.84599999999998,372.7304886014564,4473.08727,18.572395929349046
ΛΕΥΚΑΔΑΣ,196.78916666666666,301.4654656641461,4468.788258333333,22.70850745510212
ΕΒΡΟΥ,810.8819736842105,686.5231678923478,4408.886842105264,5.437149899970842
ΗΛΕΙΑΣ,355.1366103896104,565.628157382372,4291.682207792208,12.084595285977203
ΘΕΣΠΡΩΤΙΑΣ,469.94525,785.4526260144899,4253.7975,9.051687404011425
ΛΟΥΤΡΑΚΙΟΥ - ΠΕΡΑΧΩΡΑΣ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,480.83,774.0902344220649,4207.26,8.749994800657198
ΞΑΝΘΗΣ,500.0,877.6627788807386,4000.0,8.0
ΑΡΙΣΤΟΤΕΛΗ,275.0,474.68220764798696,4000.0,14.545454545454545
ΠΕΙΡΑΙΩΣ,165.7842777777778,263.6787089084971,3611.073888888889,21.781763248558953
ΚΟΡΙΝΘΙΑΣ,223.31020408163266,330.3279049515463,3233.965841836735,14.481943873261319
ΧΙΟΥ,176.51556923076924,253.72556878286184,2925.8212307692306,16.57542869175541
ΘΕΣΣΑΛΟΝΙΚΗΣ,269.48384666666664,467.033417189825,2826.1778,10.48737367733878
ΑΤΤΙΚΗ,170.0,273.629914116743,2805.0,16.5
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,156.2875,262.2737925793749,2412.1125,15.433815884187796
ΜΕΣΣΗΝΙΑΣ,229.32516129032257,351.9004053579682,2376.735362903226,10.364040951853124
ΠΙΕΡΙΑΣ,319.1276506666667,463.0234235693347,2273.0209879999998,7.122607468364445
ΣΑΜΟΥ,195.99634871794873,285.2717018253424,2204.7616923076926,11.248993701818831
ΕΥΒΟΙΑΣ,308.1294431372549,357.51757769018644,2145.33048627451,6.962432620627176
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,295.61854054054055,437.99141038476887,2091.450810810811,7.074829633441052
ΠΡΕΒΕΖΑΣ,338.80410650887575,540.9488824249961,2057.431430177515,6.072628373303426
ΑΡΓΟΛΙΔΟΣ,143.17833333333334,223.50903981541273,1971.3141666666668,13.768243565716414
ΑΡΚΑΔΙΑΣ,184.75202222222222,277.141682731185,1856.7356666666665,10.04988007348228
ΣΕΡΡΩΝ,216.31375,377.7750337121362,1817.2725,8.40109563076781
ΑΧΑΙΑΣ,252.41115584415584,253.9001659472738,1805.4786753246754,7.15292741038521
ΛΕΣΒΟΥ,322.1062790697674,416.40479968305783,1766.0916813953488,5.4829470772683
ΘΕΣΣΑΛΙΑΣ,440.9292790697674,542.467481396157,1571.6116279069768,3.5643167793770023
ΦΘΙΩΤΙΔΑΣ,162.68027777777777,269.2464727312449,1505.0473703703703,9.251566268077523
ARISTOTELH,110.11,190.12758751709532,1321.32,12.0
ΧΑΛΚΔΙΚΗΣ,90.71,155.60283608793907,1088.52,12.0
ΦΩΚΙΔΑΣ,168.43916666666667,279.44324999678753,835.2852750000001,4.958972972438121
ΒΟΙΩΤΙΑΣ,107.25476923076924,166.2696636206146,714.016923076923,6.657204413359419
ΚΑΣΤΟΡΙΑΣ,48.810558139534876,84.51462402472585,531.0162790697675,10.879127371413164
ΑΡΤΑΣ,215.0,356.25511099947255,520.0,2.4186046511627906
